id,SKU_ID,Base_ID,Title,Price,Description,Stock,Release_Year,Storage,Screen_Size,Color
1,1,1,"XenoPhone Fusion - 64GB, 5.8"", Black",789.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"5.8""",Black
2,2,1,"XenoPhone Fusion - 64GB, 5.8"", White",789.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"5.8""",White
3,3,1,"XenoPhone Fusion - 64GB, 5.8"", Blue",789.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"5.8""",Blue
4,4,1,"XenoPhone Fusion - 64GB, 5.8"", Red",789.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"5.8""",Red
5,5,1,"XenoPhone Fusion - 64GB, 5.8"", Green",789.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"5.8""",Green
6,6,1,"XenoPhone Fusion - 64GB, 5.8"", Silver",789.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"5.8""",Silver
7,7,1,"XenoPhone Fusion - 64GB, 5.8"", Gold",789.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"5.8""",Gold
8,8,1,"XenoPhone Fusion - 64GB, 5.8"", Purple",789.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"5.8""",Purple
9,9,1,"XenoPhone Fusion - 64GB, 6.1"", Black",819.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.1""",Black
10,10,1,"XenoPhone Fusion - 64GB, 6.1"", White",819.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.1""",White
11,11,1,"XenoPhone Fusion - 64GB, 6.1"", Blue",819.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.1""",Blue
12,12,1,"XenoPhone Fusion - 64GB, 6.1"", Red",819.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.1""",Red
13,13,1,"XenoPhone Fusion - 64GB, 6.1"", Green",819.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.1""",Green
14,14,1,"XenoPhone Fusion - 64GB, 6.1"", Silver",819.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.1""",Silver
15,15,1,"XenoPhone Fusion - 64GB, 6.1"", Gold",819.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.1""",Gold
16,16,1,"XenoPhone Fusion - 64GB, 6.1"", Purple",819.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.1""",Purple
17,17,1,"XenoPhone Fusion - 64GB, 6.5"", Black",849.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.5""",Black
18,18,1,"XenoPhone Fusion - 64GB, 6.5"", White",849.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.5""",White
