Store_Number,Store_Name,Address,City,State,ZIP_Code,Phone_Number
1,Rosales Group Electronics,994 Tyler Square,Port Ericmouth,NM,42056,020.533.1899
2,Davis LLC Electronics,84307 Keith Shores Suite 653,South Bruce,OR,76610,(963)380-9416x92497
3,Long PLC Electronics,894 Anna Ford Apt. 065,New Christopher,MI,84071,322.239.6462x899
4,Mccormick and Sons Electronics,137 Russell Extension,East Andreamouth,WA,96608,001-419-683-9289
5,Lucas-Nunez Electronics,75538 Taylor Walk Apt. 509,South Nicole,DE,78003,(299)427-3209x90696
6,Brady Group Electronics,862 Maxwell Stravenue,Schaeferland,TN,35141,001-507-205-2143x5521
7,Hernandez Group Electronics,580 Kimberly Rest,East Isabelport,IL,57537,236.695.9445
8,"Brown, Jenkins and Conley Electronics",8122 Debra Cape Apt. 473,Hallchester,WI,29051,835.444.3311x051
9,"Crawford, Weeks and Roberts Electronics",807 Hall Glens Suite 440,Lisaburgh,ME,77105,813.786.4714x472
10,Brown-Barker Electronics,796 Berry Corners,East David,WY,16570,231.052.0175x792
11,Brown-Hill Electronics,753 Matthew Throughway,Jackbury,WV,80612,+1-345-898-2899x91745
12,Burns Ltd Electronics,5907 Ball Causeway,Thomasfort,FL,52089,209.292.4887
13,Tran Inc Electronics,15435 Gilbert Parkways Apt. 696,Allenfort,GA,88338,123.400.4359x72049
14,Reed-Pace Electronics,135 Peter Flats,Port Anthonyton,CT,02607,1217393735
15,Cox-Williams Electronics,395 Garcia Keys,Parkville,HI,68039,476-407-6366x7306
16,Dominguez-Duke Electronics,82943 Tony Alley Apt. 585,North Markfurt,HI,24164,(806)621-2007x628
17,"Gardner, Williams and Prince Electronics",446 Daniel Islands,Tracyside,NC,95401,755-493-2599x83741
18,Hall-Rodriguez Electronics,365 Graham Lodge Suite 800,East Sandraland,AL,47240,831-175-3811x9285
19,"Fisher, Patel and Snyder Electronics",617 Nelson Summit Apt. 000,Garzaport,NV,76638,575-964-0166
20,Hull-Wade Electronics,221 Baldwin Plaza Apt. 000,Lake Douglasberg,MS,43094,(141)046-4937x7698
21,Baker-Melendez Electronics,0363 Holmes Flat Apt. 354,Johnport,IL,28879,001-956-311-9073x0486
